#downloadDate:20231101135859
#numberOfSitesDownloaded:27
#dataFiles
SITE_ID,filename,start_year,end_year,version,filetype,timestamp
US-xUK,AMF_US-xUK_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140414
US-xUN,AMF_US-xUN_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140923
US-xUN,AMF_US-xUN_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140923
US-xUN,AMF_US-xUN_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140923
US-xUN,AMF_US-xUN_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140923
US-xUN,AMF_US-xUN_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140923
US-xUN,AMF_US-xUN_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140923
US-xUN,AMF_US-xUN_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140923
US-xYE,AMF_US-xYE_FLUXNET_AUXMETEO_2018-2021_3-5.csv,2018,2021,3-5,AUX,202306140412
US-xYE,AMF_US-xYE_FLUXNET_AUXNEE_2018-2021_3-5.csv,2018,2021,3-5,AUX,202306140412
US-xYE,AMF_US-xYE_FLUXNET_SUBSET_DD_2018-2021_3-5.csv,2018,2021,3-5,FLUX-MET,202306140412
US-xYE,AMF_US-xYE_FLUXNET_SUBSET_HH_2018-2021_3-5.csv,2018,2021,3-5,FLUX-MET,202306140412
US-xYE,AMF_US-xYE_FLUXNET_SUBSET_MM_2018-2021_3-5.csv,2018,2021,3-5,FLUX-MET,202306140412
US-xYE,AMF_US-xYE_FLUXNET_SUBSET_WW_2018-2021_3-5.csv,2018,2021,3-5,FLUX-MET,202306140412
US-xYE,AMF_US-xYE_FLUXNET_SUBSET_YY_2018-2021_3-5.csv,2018,2021,3-5,FLUX-MET,202306140412
